,X,Y,Stock,X1,Y1,category
3707,0.297310914,2.51E-59,NA,NA,NA,
3708,0.299900089,2.52E-60,NA,NA,NA,
3709,0.302489264,2.48E-61,NA,NA,NA,
3710,0.30507844,2.40E-62,NA,NA,NA,
3711,0.307667615,2.27E-63,NA,NA,NA,
3712,0.310256791,2.11E-64,NA,NA,NA,
3713,0.312845966,1.93E-65,NA,NA,NA,
3714,0.315140384,3.72E-66,NA,NA,NA,
3715,0.315435141,1.73E-66,NA,NA,NA,
3716,0.318024317,1.52E-67,NA,NA,NA,
3717,0.320613492,1.31E-68,NA,NA,NA,
3718,0.323202668,1.11E-69,NA,NA,NA,
3719,0.325791843,9.19E-71,NA,NA,NA,
3720,0.328381018,7.48E-72,NA,NA,NA,
3721,0.330970194,5.98E-73,NA,NA,NA,
3722,0.333559369,4.69E-74,NA,NA,NA,
3723,0.336148545,3.61E-75,NA,NA,NA,
